radical,kanjilist
戈,蔵伐臧臧孅孅戉戡哉纖纖戠戯戮戳繊戲戦戰籖戛戔戔戎戎戚讖讖籤籤或或殲殲戒戒戝戞戊我我栽戟成成懺懺懴裁載找
戉,越鉞
戊,茂
戋,践銭残浅桟
戌,歳戍滅滅
戍,畿咸咸幾戌威威蔑
戎,絨賊
成,誠晟筬城盛
我,鵝鵞義娥羲莪餓俄蛾峩峨哦
戒,誡械
戔,淺箋殘踐餞棧錢賤牋賎盞綫
或,惑國域馘閾
戚,蹙槭
戠,織識職
戸,肇扁所鈩肩扇炉粐戻舮房枦雇扈芦綮扉啓
戻,綟捩涙唳
扁,篇褊騙翩編偏遍諞蝙
扇,煽
扈,滬
手,拏挈挙攣摩撃看拜擧搴掌掣擘拿拳攀摯
扌,抜投攫攘抵才攤押撞撓摸握擇摑換挺撲撒抻攬扎技抔抛抂抖攪拂拍払按揖撰揚揮振擅揣扨扛抗抃抓把択拊拇撕撩撼摂擁挿挫插摎撻拆批抽抒抄打扞挧操提擂挾挽撚箍抱担拌抑拭掖捩捜搾捕擬搦捨揃捏掃掎拮拗拡捍掵掩掻推描捗擒搬掴揀擦掀掏掛拯招拠拔拐籀掟擢揄擣據拑括拓掾搶捐搭擡揆携擠捌擔掲擯排拒拝拷擱捻搆搓捉探拶授掠捺据擲捷擽擾揉捶採掉拵拙拱捲掬擺搨接搏擶搜捧掫掘拘搗擴控捫損措搖拾扮攅拈扣援挂揩摘拉扶抉攝扠挨撥撹揺摧持撫揶撤扼扱撈挑摺挌挟摶托抹抬撮播指攜找披折
才,閉豺財材犲
折,逝哲浙誓晢
拑,箝
拜,湃
擧,欅襷
支,妓技伎翅枝屐岐鼓跂肢
攴,政務放徴寇攻救故敕牧敏敍枚敗敲教敬数敵敷散改攸徹撤致微
攵,徽孜肇收攷鶩攴敞敝數赦斂釐敦澂敘效變轍敢畋愍綮啓黴
攸,絛絛倏倏筱悠修修脩脩條條
放,敖敖邀邀倣
故,做
效,傚
敏,繁
敕,整嫩
敖,贅熬鰲嗷鼇螯傲遨
敝,瞥蔽暼鼈斃弊幣
敞,廠幤厰
敢,嚴瞰厳橄
散,撒繖霰
敦,暾燉鐓
敫,激
敬,檠驚警
数,薮
數,藪籔
斂,瀲
文,虔馼吝蚊斐斑斌対紊斈紋斉閔旻
斉,剤緕斎済
斌,贇
斗,魁抖斟斜科斛料斡蚪
斛,槲
斤,所新釿析斷斥斬丘圻斫斧質質断斯匠忻芹祈近欣听沂折
斥,柝拆訴泝
斬,嶄漸慚塹鏨慙暫槧
斯,廝撕厮嘶
新,噺薪
方,旒放芳髣旛妨旗圀旄舫旋斿紡旌旅枋施旆旃於房旁族游邊蝣訪楞肪魴旙彷坊防
於,唹鯲閼淤
施,葹
斿,遊
旁,謗膀磅榜傍滂蒡
旅,膂
旉,敷
族,嗾簇鏃蔟
旗,籏
旡,廐无既曁蠶蠶
既,漑慨概厩
日,奄旧電暑晒堰禺曄晞暄輹旦宴暝冥暾晄晋袙晟曇暇簪旬煦暗暃暎晨晏厭撩挿瞭晩晁暖湿旭鐐衵濳晃暴畠暼時魄暁惠曦曝春捏昿温皙白繚曹昧書岶緡穆皈顕隙鷯柏曠遼昭曜昶映曚昴是音曖昵潦粕楽皓譖榻曳星曾曽曲曲昌昌東耆皆的皐皋杳怕潛昊易昇替莫昆曙杲蝮者顯隰曩曼昂搨涅更明昃皀皖蝿蝿昨昏曷昔蠶偃皃复皎皚珀暘狛晧暸暸暫亰沓冒暹晦魯鰛燎旱晰晤冐馥香愎暦濕旨旻勗厚縄縄晉冕景暮晴最鰒帛早旺僭暉曉晢晶晶晶亀亀汨智普暈間會僚
旦,胆晝亘妲疸靼坦得曁担碍昼但怛昜袒亶量
旧,稲焔陥児
旨,嘗詣稽鮨脂指
早,乾章幹覃韓草斡戟翰卓朝
旬,詢徇恂筍荀殉絢洵
旱,悍稈桿捍駻
昆,混箟焜菎鯤崑棍
昌,娼菖猖唱倡椙
明,萌盟
昏,婚棔
易,蜴鯣裼賜錫剔
昔,借惜籍藉錯措鵲醋
昜,湯揚觴煬場瘍殤腸膓陽塲慯蝪傷楊暘暢
星,猩腥惺醒
春,惷蠢鰆椿
昭,照
是,堤提寔題匙醍
時,蒔塒
晃,滉幌
晉,縉
普,譜
景,憬影
晶,橸
暴,瀑爆曝
曇,罎壜
曲,曹農典髷豊
曳,絏洩曵
更,哽粳甦便硬梗峺
曷,褐葛謁竭蝎偈渇掲歇碣遏鞨羯喝
曹,漕糟槽艚遭
曼,鰻饅縵鬘幔鏝慢謾蔓漫
曽,憎甑増層噌僧贈
替,潜譛僣
最,樶撮
會,獪膾薈鱠繪檜
月,肝育胆朦脱臓縢朧肓鵑肌背肱臑兪脾狷脳臟胄肋悁酳髓肛脣厭贏有肩鷂龍肚胃肺胎脈脯臚脉肖胥腆膰膿腓胤胸窰瑤胝膝膽腑腹臆遙腟腋腸膳膾膊膓胞骨胚膃膺腔腕臍臂膂胖胛胯膏膀臀腎膨炙且捐霸膩膵膕膜胡然膸膸膤腦胱胙滕腰腫腿腱腥覇能楕隋腴明膣潸前散胼惰臉涓搖臈腮膠腺膈胴朞肪脹脅朝謠肘朋朋勝期脇臘脊冐豚祭冑臙脆肥肬股朕將脂娟脚望朏肯朔羸朖肢肭服青徭脛朗
有,肴囿髄侑陏郁賄宥鮪
朋,萠棚弸硼崩堋鵬
服,箙
朔,溯愬塑遡槊
朕,騰騰謄謄
朝,廟潮嘲
木,欅椁検鰈朽柑檸梭梢桼案檬橲桴橦某未柤椏椛椨休椀欟欄欒欝欝植本柝桶檪棉橿橘乘橙梠档桷梯刹柞柧朿朿末染椚椎槻槨權髞槿様柚朴柮檢桾桧橡梹檮檣橈柢宋椒槙欖椋椄柯朷机朮柔桿梧橢禾操茶困檠桙札朶椅槽椹椌槲新藁枝楢業柆村栂栖樋樸澡樟樹樌栗樅栃柊材枳束束床楮枇榠楷枌楡極親枅楼杆樓栩樞樊膝棺樒杓杞柄析楯楴榮楠枋楫榧柏李枴核栄樂鬱鬱懆噪櫻櫨樗棲根柁杖枩緤果枕楙楙隸林林楾楪楪枚楳柎枷杏栞権栓凩懋懋樔櫺樛架杜杁楽榻榴榔板榛杰杤棯棔標牀棡棕櫓樫櫪櫞栢東東榜杙榁枦榕槁寨渠楔槎槃蝶杪松來來榎杳枸森栴棚棣樽櫑蘂蘖弑蘗横諜格校櫟杲枹概楜楕槍譟楹榲枉杢杭枡樺棒樮櫛樣牒樢樶栫棧枠枯杷杣榊槊榾槇楸殺渫楝榱槌杵条榑杉杼枢繰栽櫚棹栲呆樵模棟株杯杠榿楓構楊楞集燥相采雜椴椈柘柿桀桔梃梗葉梍檐檄桜梶棍橇桁柱椡槭椣朸柳柾梨桃桎梔梛梏沐梁檳橋橸桍機梼橄桂椶椢椽椦槹櫃桝閑梱築框檎檗梅檍梟棋桓械棄櫂槫喋槐椪躁椙椥槝柩柵棆檻桑條檀乗梓檜桐棊桟櫁梳柴査槞椰槓槧椿雑
未,朱魅昧味眛寐釐耒妹
末,靺沫茉秣抹
本,鉢体笨躰
札,紮
朮,述術
朱,茱蛛殊珠侏株銖洙誅
朶,躱
朿,策棘棘棗棗刺
杉,彬
束,悚柬柬速竦頼敕辣嗽剌勅踈疎漱
来,莱
東,煉鶇陳錬練棟諌凍
松,鬆菘淞
析,蜥皙淅晰
林,禁爨梦焚麓痳霖痲歴麻楚埜森淋婪潸梺彬暦梵琳罧醂菻
果,菓顆踝夥巣裹裸彙課
某,謀煤楳媒
柔,鞣糅揉蹂
柬,揀諫楝鶫鰊闌
査,渣
栗,篥慄
桀,磔傑
桼,漆
梁,簗
條,篠滌
棘,蕀
楚,礎
楽,檪薬
榮,蠑
樂,爍藥鑠礫轢擽櫟
樊,礬攀
欠,欹厥欸嵌羨篏吹飮歙嗽歡歉歓歇闕歐軟歟歌炊歔歛歃歎飲坎欧款欽欲欷欣欺次盜漱
次,瓷咨姿粢恣茨盗資
欣,掀
欲,慾
歇,蠍
止,齒企武歳此歯歴蕋耻正渋趾澁歸凪歩祉徙阯址肯沚
正,政堽征眄歪鉦麪証焉整症柾卸延
此,髭砦呰紫眥眦雌疵觜些貲柴
武,斌賦錻鵡
歩,頻捗渉陟
歯,噛齢
歳,穢
歴,瀝癧轣櫪靂
歹,列殘殤殫歿夙殪死殯殉殄残殱殊殞殆殲殍殖殃殕殀薤
死,屍薨斃葬
殄,餮
殳,投芟役酘疫醫馨没磬撃般骰廏鑿繋發穀殿毅設毆殺翳殷段殼轂殻殴毀愨聲股謦
段,緞椴葮鍛
殷,慇
殿,臀癜澱
毀,燬
毋,貫母母毎毒
母,姆拇栂苺袰
毎,悔莓海侮敏毓誨晦梅
毒,纛
比,箆豼毘批秕庇枇篦蓖屁粃紕鹿陛皆昆貔砒妣琵
毛,毳毳毳竓瓱尾髦旄麾粍耄氈耗毟毫毬毯
毳,橇
氏,祗祇柢羝砥岻牴胝民紙鴟舐低昏觝帋詆
氐,抵邸底
民,氓岷緡眠泯罠愍
气,汽氛気氤氣
氣,愾
水,泉尿丞永潁氷氷沓閖盥汞冰承漿
氵,溯湮漁漕濶添淨洗瀏瀛瀕瀁淵汰漏演濺滉湶湯漂油汲淺洛汽混瀚茫沙汪洩汾沸沫汳染溢羨漓濘決洌沈瀝瀞汢洋洸淳没洟漆濱溪湿湫湘溥湲漸濳濾深池洒沮淙瀑瀟瀋淘沢洞漑溘湧湾減滷粱潭澡泙浴泱灣潺潮温渕滴渚潼涯海浣浮消泳潯澣潴渝潘澪潰潤浦涙灘涸浪渓渇滿渊滲清澤浬浙注浤塗澹潦滾游渋渟渡渉激澀流浩浜氾涎泥澁濁港窪済渠渭潔潛濃澗澎泪涼泓涵涕涜涛淀浚泝澂潜濂渺滔渮滯渣渾滸濆潅澆波淋涅灑灌涌淌泗泣淅潸澳潟滬渦滑滓渫滞渤澱澑浸法淇泡浄涓泯泛浅淆浹液澄滝渥渙測湖湍溜漠濮沾汐泊洶河淕江淡瀉沒沽漉溏満湎湃溶滂溂準濯漣濛濠濔洵沿泄沐沌沱活泅汝泌淮梁濕濡漢酒湛溷溺湟蔆漲濬況洫淪沼淞瀾瀧沁瀦瀲沛治津汗洙汎淒汚淦濟濫衍漾濤溝溽溲滄湊滋溟源盜漬漱洪派淤汁洳淫汕沍瀘沂瀰沖沃沚瀬洲淬淹汀沺洽汨淑漫溌滌滅
永,詠脉怺泳昶咏樣漾
氺,桼様禄暴泰剥膝函黍碌隶滕剝求祿
氾,笵范
求,逑球裘救毬
江,鴻
沓,踏鞜
沙,鯊莎裟娑
沛,霈
沾,霑
泉,湶線楾腺
泊,箔
法,琺
泙,萍
泡,萢
波,菠婆碆
洛,落
活,闊
浦,蒲
海,塰
涌,慂
淫,霪
淮,匯
温,薀
湯,蕩盪
溥,簿薄
滕,藤籐
滿,懣
潘,藩
澡,藻
火,爍煉燈爨爛煢煢燉煽爐秋烱烙煬煙煥烽爆煤燻焚炯炉燵燼焔塋塋炮灯灼耿榮榮焜灰炙災炬炸燿螢螢犖犖燔燠燭焼炎炎燗燮燮燧樮炊炳灸炒狄瑩瑩燦焙燒燐營營燬燹燥煩畑燃燎熕煖勞勞熨熔熄烟熾鶯鶯煌滅
灬,黑熈煮黒魚勲羔熙煦熬熹鳥照烈点庶然燕杰無焉為薦烋焦薫煕馬煎熏熟冩烹熱熊盡爲烝
灰,詼炭恢
炎,痰餤淡啖談毯
為,偽
烏,嗚塢
烝,蒸
焉,嫣篶
無,嘸廡憮蕪撫
焦,鷦憔礁蕉樵
然,撚燃
熊,羆
熏,勳燻醺
燕,嚥讌臙
爪,抓笊爬
爭,淨箏崢錚靜諍
爰,暖湲媛緩援煖
爲,譌僞
爵,嚼
父,交斧釜爺
爻,欝駁學黌樊鷽覺爼爽爽爾爾
爾,彌禰璽邇濔
爿,臧臧妝壯寢寤寐牀牆將
片,版牘牒牌牋
牙,芽邪訝鴉谺穿呀雅冴
牛,牡犢牴牢犠牾牧牲牽犧件物犖犂犀犁牝犒特牟告犇犇犇吽解制
牟,桙眸鉾鴾
物,惣
犀,遲穉
犬,獣魃魃獻髮厭祓祓倏伏秡秡憖拔飆然状猷献跋跋獎默闃吠哭黙獄獸黻黻
狂,誑
狄,逖荻
猪,潴
猶,蕕
獄,嶽
玄,絃茲茲弦牽舷鉉眩呟衒率痃畜
率,蟀
玉,壬閠国宝璧璽瑩王
王,玉珈琅抂汪理聖球瑳瑾瑪斑斑瑤瑰呈瑙璢鬥鬥瑠瑯珱瑶現瑣玲皇珮狂環瑞班班璋珠弄瑟瑟瓊璞璃枉珥瑛瑕珸瑁瑜碧瑚瓏主匡珞珪琥玻珀琿玩琲珎閏對珂聽珍琳玖瓔玲琺望琶琶珊琢玳旺琴琴全琵琵琉
瓜,柧弧呱瓠觚孤瓣狐瓢
瓦,瓲瓰瓱瓩瓶瓷甓甄甌甅甑甕甍甃甎瓧瓸瓮
甘,柑某嵌蚶酣篏其甞紺甜拑邯甚鉗疳坩
甚,勘尠堪椹斟戡糂碪湛鍖
甜,憇
生,徃旌姓笙牲性甦星甥産隆
産,薩
用,糒備鼡庸甬甫鞴
甫,逋哺愽溥鯆脯輔賻捕圃膊匍浦傅埔舗餔搏舖榑補鋪尃黼
甬,桶通誦踊鯒蛹涌痛俑
田,畤異畫留略獣罍雷橿橿魚畳畧番彊彊畦毘疉畭當畢畷緇僵僵胃輜畉畴畠累鯔匐鴫甸鬼璢塁果細苗薑薑錙甲曽申蝠櫑由由嚏嚔儡甼笛笛佃町澑男思疆疆畑界畸畋畐畄疊疇盧卑畆畝壘畊鈿奮畚冨畍獸輻畏畛畔逼沺畜畩疂
由,廸油娉胄寅柚釉抽蚰舳鼬紬届軸画岫恵聘迪専冑騁宙袖
甲,押單單単閘呷胛狎匣岬鴨
申,伸抻神坤呻紳暢
男,虜嬲舅勇甥娚
畀,鼻
界,堺
畏,隈猥
畐,福富幅副
留,鰡餾籀瑠榴霤溜瘤
畜,蓄
畢,篳蹕
番,蟠飜鐇旛膰蕃潘鷭翻審燔幡繙旙播
畫,劃
異,糞翼冀
當,襠礑鐺蟷
疋,定従蛋旋胥是楚嚏疑疏疎
疏,蔬
疑,嶷擬礙癡凝
疒,疫疸疥疹瘟瘋瘁疣瘍癬痿痘痰痙癘癰癲痾痳痲癪癧痺癢癈痼痩痴癡癌癇痒痞癒癆療癖痣痢癩癜痔痛痕癨瘧疝疽疲症疳痊疾瘤瘰病疱瘉瘡疔疼疵瘴瘠瘻瘢疚痃痍痂
疾,嫉
癶,発登發癸
癸,揆葵
発,廃溌醗
登,燈嶝橙證澄磴鐙
發,廢癈撥
白,拍泉百舶樂習皇邀泊原迫伯兜
百,竡佰憂弼粨栢戞陌瓸貊
皀,廐曁廏梍
皃,貌
皆,楷階偕諧揩
皇,鰉徨篁鍠凰蝗隍惶遑湟煌
皐,槹
皮,破被坡皹皸皰陂波皴皺皷簸玻疲鞁頗彼跛披
皿,褞鰮瘟醯饂孟醢謐蘯慍温媼盈膃塩益盆蠱鹽榲盂盍盃盟盤鰛盥盞盪盧葢盒盖監盗盡盜血盛
盈,楹
益,謚溢鷁隘鎰縊
盍,蓋溘闔
盡,贐壗燼儘
監,藍襤籃儖鑑繿艦濫檻
盧,廬爐臚轤櫨鱸鑪顱驢蘆艫瀘
目,睦瞹瞬瞥自盲睥睫睿盾具睡瞭直盻算瞠督県眸看眄眞眇苜眛省眩眤眥見泪眦夐眷眺鼎眉眼矚眠眈相闃瞋瞿瞿睇瞰瞑冒瞞矇瞳睹瞽瞶着睨睛瞎瞼貝瞻睚
直,植稙悳埴殖矗矗矗値置
相,箱湘霜廂想
盾,楯遁循
眇,渺緲
眉,嵋媚
県,縣
眞,愼鷆鎭嗔塡槇瞋
真,鎮槙鷏慎顛填
睘,還環
睿,叡濬
瞿,衢懼矍
矍,攫钁
矛,務袤橘柔鶩鷸楙懋譎矜茅
矢,肄雉矩笶侯族矧知矯医短矮矣疾候疑
矣,欸竢挨俟埃
知,聟蜘踟痴椥智
石,鮖砠磚破宕磯砺磔砧磐磑磬砲砦砿磧砥磁碵碼碩碕碁岩碍蠹碗碚碎確碾磊磊磊碇碓礫矼礬礙碆磆硅磋拓礪礦碌碑磅硝碯礎鉐蠧斫硯碣硴礁硼硬礑碧硫碪硲礒礇研柘砕磴磨妬砂砒跖磽砌
示,宗祁祕祀票尉蒜蒜禁禀祗祚祓祇禰禳祟禊禝頴隸隷祠禮款祺祭奈禦禧祿禪
礻,禍禎祖福神禄禅祝祐礼社視祈祉祷祢祥
神,鰰榊
票,漂嫖鰾飄剽驃飃慓標縹瓢
祭,蔡察際
禀,凛
禁,噤襟
禸,禺黐离漓魑禽璃禹
禹,属齲
禺,藕嵎萬寓偶遇隅愚
离,離
禽,擒檎
禾,稾酥龝稲稽稘稿私乘乘秀稱稙稼利秋禿稈稻稠種稷穐秕秡菌秣穆穂積秧秒秦麕穎穗穃穩租秤科秬黍穏委穀移秩犂穰穫穣蘇蘓穢和称秘剩穉穡箘香秉秉季稟程稀稔稜稗稚税稍
禿,頽
秀,誘透銹莠綉
秋,鍬啾鞦湫甃萩楸愁愀鰍
科,蝌萪
秦,蓁榛臻
稜,薐
稟,懍凜廩
積,癪
穴,竇竊窓窒穹窰竄窿窟窄鴪竅窩突窕窶窖窃窗竃窺窪穿穽邊窘竈窯空窈邃究窮
空,箜椌腔控倥啌
窄,搾
窒,膣
立,妾童竓竪竝竝竦竒竭竢蒟部倍竣翌竚翊竡竕龍端新柆親粒碚笠陪竏竍旁音賠毅苙泣剖培焙颯殕産辛位站靖拉竰彦商競競菩
竒,嵜
竜,篭滝槞
竟,竸竸境鏡
章,嶂樟鱆璋障彰瘴
童,撞橦艟潼幢憧瞳鐘僮
竹,筌篆筅筑箝箆箒箇筐篇筋簫簿簽筝箱筒篌筆箋箟篋範簧簾簪簣簷篏節箴箔箏箜箕筍篁策答筏算箍簡篥符笳篤籌篦笙第笥篝笘籐籟籀籔籏笠笈笵篭籃篠笶籍籖笊笞笆籘籤笋篳笄笑笹籥籬篶篷笏笨笛籠笂篩簟簸箪筰筱筥筬簑竿簇簓箸筧箘箙竺簍管筮筺簗筵箭等筈筴簀簔
筑,築
答,箚箚
筮,噬
算,纂簒
箭,擶
節,櫛
米,糒鞠糞糧彝糟糯糠糜彜迷糖糢類隣糅鱗粱屎菊粐粋粟粲粽粒麟麋糊精粳歯糎粃粗粍粂糂渊粨糀粛憐粁粕料粤籾粫粘来粹粥鄰粧麹数粭籵粢掬粮断燐粡粉氣奥椈糲釆糘糴糶継
粛,繍
粥,鬻
粲,燦
糸,絎綴総絃綻綛綏縮縺縷縢綜終絖綵欒欒絏絛絨綺続縻彝縡縵縉絅綽絹経網縱臠臠彎彎縫經緇絋緊結組綾攣攣絆綱縦縲總績綟綰絞綿緋累線素巒巒織纎纃纖纂繕繁繩紡紵紮締紺緯繚繃纏纔纜繖繍索緡緕紲緬緑轡轡繆繝續纐繊繞辮緤紳緝紬紙緒鑾鑾繹纒纓繋紘紫紿緞細戀戀紜紕繼繻紀純紛納紂緩繭纉纈紗緻編級練變變緘紊繧繪蠻蠻蘊繽繦紆紐約紋繰繿繙紹緲紅絶絢糾綉鸞鸞絣綯絮綢絡絵維縁縛綮綣縄縟縋縹縅統系絳綸綫縊縞縒継絽給糺絲絲綬
系,縣鯀緜係孫
約,葯
累,騾縲螺瘰
絜,潔
絹,羂
維,羅
縁,櫞
縢,籘
縣,懸纛
縵,蘰
缶,罍罎鷂罐淘罌罅缺窰瑤遙遥掏陶鬱瑶萄缸搖綯謠徭
罒,罩罕羂壞擇羃罔罨欝堽詈懐羅罟罸羇鰥鐸罹圜薨驛譯壊憲夢澤繹甍懌賣鬟曼寰楞罠買懷罵置罷羈釋爵鐶聽蜀署罪罧蔑聴罘罫罰
罔,魍網惘
署,薯曙
罷,羆擺
羅,鑼蘿邏
羊,羶美羚義羔羨様洋羌羞詳羝羲業翔譱羚佯姜差養痒遅樣達庠叢羣鮮觧羯盖着漾善群羸祥恙
美,躾羹
羔,窯羮羹
義,犠儀議礒嶬蟻艤
羲,曦犧
羽,醪翁摎廖翅翌翊扇挧翆翡翕翔翠栩戮戳繆擢曜翦習寥樛燿翹翻榻蓼翩翼鏐搨耀翳膠翰濯躍櫂糴糶勠謬
翁,鶲蓊
習,翫慴摺褶
翕,歙
翰,瀚
老,姥蛯耆耄耋咾
耂,孝者老考
考,拷栲
者,暑都煮著堵豬楮渚赭緒賭屠諸猪偖覩闍箸睹署奢
耆,蓍鰭嗜
而,揣喘需粫猯瑞惴耐湍
耑,端
耒,藕耙耘耡籍藉耜耕耨耗誄
耳,聹聟聒聆揖輒聊聞聖聨耽耿楫耻緝弭耶聆餌珥取敢聰聘聳聾葺茸聽聲聶聶聶聢職鵈聡輯聴恥聯
耶,爺揶椰
聖,蟶
聚,驟
聴,廰
聶,摂躡鑷顳囁攝懾
聽,廳
聿,肆晝畫肇肅肅筆律肄書粛津建盡
肅,簫蕭嘯
肉,臠腐
肋,筋
肖,梢峭哨宵逍悄鞘趙消屑蛸霄硝削銷誚鮹稍
肙,絹
育,轍徹撤
肴,淆
胃,謂膚蝟渭喟
胡,餬糊蝴楜瑚湖醐葫
胥,婿壻
能,態罷熊
脊,鶺蹐瘠
臣,臧熈竪臥緊姫覧腎覽賢鹽鑒堅豎臨監宦
臧,贓藏
自,首臭寡鼻邉戛邊夏息
臭,嗅
至,輊鵄垤蛭窒姪屋咥耋桎到室臻致臺
致,緻
臺,擡薹
臼,蹈插稻陷鼡餡鼠舅韜叟舊滔舂舁歃毀輿輿輿啗閻兒諂冩
臾,諛萸腴
舄,寫潟
與,嶼擧譽舉歟
舌,濶聒乱話憩甜括蛞舐辞銛舍活刮筈恬
舍,舘舒舖
舎,捨
舛,隣鱗麟憐鄰舞燐舜桀桝
舜,瞬蕣
舟,艇艝艟艀艨艚舫般舳航舶舷舮舵船舸舩艦艪艙艫艘艤艢
般,磐搬槃盤瘢
艮,垠恨即既退郷墾懇根銀限眼痕狠跟齦艱爵良很
良,狼琅娘莨浪郎粮踉朖朗
色,絶艷艶
艸,芻芻
艹,芋芟蔡蔵糒蒂蓍菫菟葩葛茲苅花藜芳蔭藕蒜蒼茘茫菓蓁葎著茱蒻蒔蔣芽芝權芒芍藤藐蒋蒟蒄蒐菖茉蓄蒿茵蓋茴葆茯蔦藹蔽藥罐蔘藪茶蓊嘆菜茣華蒲葹菠蓆獲藝蔬備護薜驩苞薩苓苧莓莇莞莊菊荐萢荅莽蕚苦蕎苒藏蕗蕃薨薛薔薀苫蕕藍苟蕁蕩鑵莟萵蓖荊萼菅莱荒蓮菌萠蓚莅蘭蘢苑蕨若薺蕀苹薗薊薇苡蕋苜莵菁萱莨萬苛苔歡夢薄薐蕊讙蠖甍莖萪蓐荀蓬菎蓑荏落莎莚蘰蘿蠎苣苗薑薈蕣薯蕷萃蓴萎荘萍韮蓼莪蕭苳藉穫苙薮蕈英繭蘂萩荳莫蘚舊蕉顴薦苴苻蘊蘇蘓萌莠荷萄灌萋萸莉蘆薪蕘薙苺薹薬觀蘋荻蓙萇蓿荵萓荼草莢薫蕾薤蕪歎芙藺蔀芹芬蔔藷芥茆葯菱菰葉葡鞴蒭菘葵勸艾蔕芫芸蔗藻芦蔚茅董菽葷茹葮菲葺蒡茸葭茄蓉葢漢藩難蔆蒙菷茨葦蒹蒸茜鸛芭蔓蔑芯茎菴葬葱茗范菻茂菩茖葫懽藾蔟
芒,鋩
花,椛糀埖硴錵
芳,餝錺
芻,鄒趨皺蒭雛
苗,描錨猫
苛,渮
苟,敬
若,惹諾匿
英,暎瑛霙
茲,孳
荅,剳塔搭鞳
荒,慌
莧,寛
莫,謨摸貘糢驀墓慕寞蟆膜蟇幕模漠募獏暮
莽,蟒
菐,撲僕
菫,勤
華,曄嘩譁樺
萃,膵
萬,勵癘邁
著,墸躇
葛,臈
蒙,朦檬艨曚濛矇
蒿,藁嚆
蔑,韈襪
蔵,臓
蕩,蘯
蕭,瀟
薛,蘖
薜,蘗
藏,臟
藝,囈
藺,躪
虍,虚虎虔虜處獻虐虞罅遽膚據戲慮盧醵虧
虎,號遞鯱琥褫彪
虐,謔瘧
虚,墟戯歔嘘
號,饕
虫,蟯蜷蟠蚩蚕蜴蜻蜈蛎蚶蛍蜉蟒蜥虹蛆蛇蚓蚊蜘蜿蟹蚌蛋蚰蛄蚋蟐螺蝨蝨蛮蛭蝕融螂蝗螻蟀蝎蛛蛯蛔掻蠑蠅蠹蠹蠕蛬蛹蛸蛟蛤蠏蝓蟋蟄螟蝌蟆螽螽蠖蠍強蛞蠎蟇蝟蝸蝋螳風蝉螢蠧蠧蝴蝠蝶繭蛩蛻蝮蝣螯蝪螫蠻蛙蠡蠡蝦蝿蠣蛾蠢蠢蠶蠶蝙触蜂蜍蛉蚯蜚蜃蟻雖蜜蜩蟶蚣虻蟷蜀蟾蚪禹虱蜑蟲蟲蟲騒蜊蚤蚫独蜒蜆
蚤,騷
蚩,嗤
蜀,髑濁燭屬躅獨觸
蜜,櫁
蟲,蠱
血,睾衄衆洫衂恤
行,鵆鵆絎衙衙衢衢哘衡衡銜銜桁衝衝衒衒術術裄衞衞垳街街衍衍衛衛
衍,愆
衣,衰衰壞壞袤袤衾褒褒懐袈衷衷喪裘嚢嚢襲裳壊製裴裹裹哀哀裟襞依裝襄襄襃襃裔袞懷懷装袋袰裏裏袁裁褻褻表畩裂
衤,褸褄褐衿衫初褌褞褊褓複被袙衲衽褝褂衵袢袮襪裙襦襤裾裲襯襠襴襭裼裨襷裸襌襟襁裕裡補襍襖褥袒褫袱袿裄褪袴袵褶裃袷袗袍袂袖
表,俵
衰,蓑榱簑簔
袁,園遠轅猿
袞,滾
裁,纎戴截殱
襄,攘孃壤醸禳壌嬢譲穰穣讓曩驤釀
襾,票価覈覊覃
西,湮晒堙賈煙洒迺酉酉襾栖栗粟甄遷僊覆哂覇樮要茜廼
要,腰
覃,鐔潭譚蕈簟
見,靦覘覬覧親覦覡現覯覿硯覲覽覓観覺覗覚視觀規覩筧俔蜆
規,槻窺
覚,撹
親,襯
覺,攪
覽,攬欖纜
觀,欟
角,桷觴斛触觝觧鵤觸觜埆觚解
觜,嘴
解,蟹蠏懈邂廨
言,謨講謀謔誡詭詢誉詣詮誠謁謚謎欒謗詼読詠誣詈謂謖謝簷詰詫臠彎誦詬話攣謇謌謹詳誤誘鞫贍誥試説誹該謐謄護巒諺諷訛譯譴訂訖膽憺託訃討證譱譱譬訓訊訝諱譫譫識議警譲譽讙鑾訐諾訟諳擔澹訌辯譖戀計註諮訴諚諭論諢証讀譚譎譜譁讖診諠諛訣訶諜諡設讃燮讎讚譏譛譟讓變蠻諤訪諸諫訳讒譌讐許訥諦諒記諧諞讌謡鸞諏誨這誕檐誼謠詛詔誚誂認諍評詁諂詩謳謾蟾詑課語誓誇談詐獄信謦謫諌詒詆誑誅誌瞻誄誰諄詞調請謙謬罰
討,罸
許,滸
諸,儲藷
謁,藹靄
谷,卻峪浴谺谿硲裕豁郤逧欲容俗
豆,豈壹頭廚逗痘戲登闘鬪鼓荳短豎豊彭厨豐豌
豈,鎧磑凱覬剴榿皚
豊,體鱧禮軆醴艶
豐,艷
豕,逐象家豢彖豪豬冢遽據毅隊遂燹燹豚溷醵蒙琢啄
豚,遯
象,橡豫像
豪,壕濠
豬,瀦
豸,豼豺貉貘墾懇貍貂貎貔貌貅貊豹
貌,藐
貍,霾
